rank,size,scatter_pct,retained
1,4866,6.694129944688508,True
13,4143,3.420086967892076,True
0,3958,8.260155529351493,True
2,2493,8.486669687586112,True
6,2144,4.789552096112497,True
3,1697,2.373750194179778,True
8,478,0.8007499456460745,True
11,113,0.32502695979542673,True
4,53,0.1335905974953718,True
14,37,0.08443555105014118,False
10,13,0.04343342272291626,False
9,2,0.014548733326871333,False
5,1,0.00884086633988453,False
7,1,0.008277005637231662,False
12,1,0.0061626824525969,False
