method,k,silhouette,calinski_harabasz,davies_bouldin,inertia,runtime_s,cluster_sizes
"K-Means (k-means++, n_init=5)",4,0.1403,12953.6,1.922,755066.0,0.5,"[4478, 38395, 49403, 5474]"
"iK-Means (AP-init, n_init=1)",4,0.1403,12953.8,1.9215,755063.3,0.8,"[5474, 4478, 49509, 38289]"
