,Lead Time,Total Nights,Weekend Share,Party Size,Prev. Cancellations,Prev. Completed,Parking,Special Requests,Repeated Guest
Cluster 0,-45.573489028160985,-5.966140323722981,3.3204473827372674,8.899988379234232,-98.80432862778083,0.0,2082.894103958793,60.20119516158906,122.815342176267
Cluster 1,11.930397979802066,-7.929918060132718,-3.8682131942600133,-11.672167355965774,-99.99999821526386,0.0,-99.99999782922501,-81.34969160703496,-30.865295069039334
Cluster 2,-23.167447443036863,14.026234648056235,5.9460611977637186,15.041051792456544,-99.99999821526386,0.0,-99.99999782922501,109.33354413905579,-38.5350659764775
Cluster 3,91.49807850423338,-21.551575906188138,-9.341302624180642,-6.97433171861555,1684.7361393677272,0.0,-99.99999782922501,-78.62781463178949,448.24557909409475
