method,k,B,ari_mean,ari_std,ari_min,ari_max
KMeans,4,20,0.7102916096165308,0.28925718875262835,0.14234345294760467,0.9959375270189105
iKMeans-AP,4,20,0.9708399543935886,0.01535107020672325,0.929115143479682,0.9956604830799319
