k,sil_orig,sil_pca,ch_orig,ch_pca,db_orig,db_pca
2,0.1162,0.1329,11606.7,12944.3,2.6238,2.4713
3,0.1288,0.1431,12009.5,13573.1,2.2528,2.0957
4,0.1403,0.1569,12956.3,14879.4,1.9212,1.7739
5,0.1288,0.145,12141.5,14085.0,1.9849,1.8262
6,0.1393,0.1583,11822.7,13864.0,1.8204,1.6672
7,0.1349,0.1552,11478.1,13622.9,1.8058,1.6302
8,0.1422,0.165,11179.5,13407.8,1.7296,1.559
