k,inertia,silhouette,calinski_harabasz,davies_bouldin,time_s
2,943259.0847284768,0.11624278790074816,11606.177429463862,2.6227387237876214,0.3841407299041748
3,847131.8552814898,0.12883125145543975,12007.362942544733,2.2530036109577205,0.42282795906066895
4,755066.0139603246,0.14031556681016988,12953.645905420852,1.9219518888291096,0.5008542537689209
5,705990.4487454265,0.138247585213283,12089.097637035367,1.8963146919525404,0.39479517936706543
6,657885.1693775126,0.13914840347530646,11807.759664473417,1.8345568213312777,0.6725647449493408
7,619103.7773728345,0.13459683102472028,11476.524489621079,1.7970956170540102,0.5132415294647217
8,586048.7085332616,0.1424679915488976,11179.323055253264,1.729152305225524,0.5281174182891846
